question,dataset,full_question,question_id,split,option1,option2,option3,option4,true_option
"A total of x feet of fencing is to form three sides of a level rectangular yard. What is the maximum possible area of the yard, in terms of x ?",college_mathematics,"A total of x feet of fencing is to form three sides of a level rectangular yard. What is the maximum possible area of the yard, in terms of x ? Options: 1. x^2/9, 2. x^2/8, 3. x^2/4, 4. x^2.",2247,test,x^2/9,x^2/8,x^2/4,x^2,2
"Statement 1 | If A is connected, the closure of A must be connected. Statement 2 | Every continuous function f : (0, 1) → (0, 1) has a fixed point.",college_mathematics,"Statement 1 | If A is connected, the closure of A must be connected. Statement 2 | Every continuous function f : (0, 1) → (0, 1) has a fixed point. Options: 1. True, True, 2. True, False, 3. False, True, 4. False, False.",2248,train,"True, True","True, False","False, True","False, False",2
Which of the following sets has the greatest cardinality?,college_mathematics,"Which of the following sets has the greatest cardinality? Options: 1. R, 2. The set of all functions from Z to Z, 3. The set of all functions from R to {0, 1}, 4. The set of all finite subsets of R.",2249,train,R,The set of all functions from Z to Z,"The set of all functions from R to {0, 1}",The set of all finite subsets of R,3
"Let f(x) be a function whose graph passes through the origin. If f(2n) = n^2 + f[2(n - 1)] for every integer n, what is the value of f(8)?",college_mathematics,"Let f(x) be a function whose graph passes through the origin. If f(2n) = n^2 + f[2(n - 1)] for every integer n, what is the value of f(8)? Options: 1. 24, 2. 30, 3. 32, 4. 36.",2250,val,24,30,32,36,2
How many structurally distinct Abelian groups have order 72?,college_mathematics,"How many structurally distinct Abelian groups have order 72? Options: 1. 4, 2. 6, 3. 8, 4. 9.",2251,test,4,6,8,9,2
"If the finite group G contains a subgroup of order seven but no element (other than the identity) is its own inverse, then the order of G could be",college_mathematics,"If the finite group G contains a subgroup of order seven but no element (other than the identity) is its own inverse, then the order of G could be Options: 1. 27, 2. 28, 3. 35, 4. 37.",2252,train,27,28,35,37,3
"Let f(x, y) = x^3 + y^3 + 3xy for all real x and y. Then there exist distinct points P and Q such that f has a",college_mathematics,"Let f(x, y) = x^3 + y^3 + 3xy for all real x and y. Then there exist distinct points P and Q such that f has a Options: 1. local maximum at P and at Q, 2. saddle point at P and at Q, 3. local maximum at P and a saddle point at Q, 4. local minimum at P and a saddle point at Q.",2253,test,local maximum at P and at Q,saddle point at P and at Q,local maximum at P and a saddle point at Q,local minimum at P and a saddle point at Q,3
"If A is a subset of the real line R and A contains each rational number, which of the following must be true?",college_mathematics,"If A is a subset of the real line R and A contains each rational number, which of the following must be true? Options: 1. If A is open, then A = R, 2. If A is closed, then A = R, 3. If A is uncountable, then A = R, 4. If A is uncountable, then A is open.",2254,test,"If A is open, then A = R","If A is closed, then A = R","If A is uncountable, then A = R","If A is uncountable, then A is open",2
Let M be a 5 x 5 real matrix. Exactly four of the following five conditions on M are equivalent to each other. Which of the five conditions is equivalent to NONE of the other four?,college_mathematics,"Let M be a 5 x 5 real matrix. Exactly four of the following five conditions on M are equivalent to each other. Which of the five conditions is equivalent to NONE of the other four? Options: 1. For any two distinct column vectors u and v of M, the set {u, v} is linearly independent, 2. The homogeneous system Mx = 0 has only the trivial solution, 3. The system of equations Mx = b has a unique solution for each real 5 x 1 column vector b, 4. The determinant of M is nonzero.",2255,test,"For any two distinct column vectors u and v of M, the set {u, v} is linearly independent",The homogeneous system Mx = 0 has only the trivial solution,The system of equations Mx = b has a unique solution for each real 5 x 1 column vector b,The determinant of M is nonzero,1
How many positive numbers x satisfy the equation cos(97x) = x?,college_mathematics,"How many positive numbers x satisfy the equation cos(97x) = x? Options: 1. 1, 2. 15, 3. 31, 4. 49.",2256,val,1,15,31,49,3
For which of the following rings is it possible for the product of two nonzero elements to be zero?,college_mathematics,"For which of the following rings is it possible for the product of two nonzero elements to be zero? Options: 1. The ring of complex numbers, 2. The ring of integers modulo 11, 3. The ring of continuous real-valued functions on [0, 1], 4. The ring {a + b * sqrt(2) : a and b are rational numbers}.",2257,train,The ring of complex numbers,The ring of integers modulo 11,"The ring of continuous real-valued functions on [0, 1]",The ring {a + b * sqrt(2) : a and b are rational numbers},3
The map x -> axa^2 of a group G into itself is a homomorphism if and only if,college_mathematics,"The map x -> axa^2 of a group G into itself is a homomorphism if and only if Options: 1. G is abelian, 2. G = {e}, 3. a^3 = e, 4. a^2 = a.",2258,test,G is abelian,G = {e},a^3 = e,a^2 = a,3
"If A is the 2 by 2 matrix whose (i, j) entry is equal to i + j, and B is the 3 by 3 matrix whose (i, j) entry is equal to i + j, find the value of the sum detA + detB.",college_mathematics,"If A is the 2 by 2 matrix whose (i, j) entry is equal to i + j, and B is the 3 by 3 matrix whose (i, j) entry is equal to i + j, find the value of the sum detA + detB. Options: 1. -2, 2. -1, 3. 0, 4. 2.",2259,train,-2,-1,0,2,2
"If f : (0, 1) → (0, 1], then which of the following could be TRUE?
I. f is one-to-one and onto.
II. The image of f is compact.
III. f is continuous, one-to-one, and onto.",college_mathematics,"If f : (0, 1) → (0, 1], then which of the following could be TRUE?
I. f is one-to-one and onto.
II. The image of f is compact.
III. f is continuous, one-to-one, and onto. Options: 1. I only, 2. II only, 3. I and II only, 4. I and III only.",2260,train,I only,II only,I and II only,I and III only,3
"If a real number x is chosen at random in the interval [0, 3] and a real number y is chosen at random in the interval [0, 4], what is the probability that x < y?",college_mathematics,"If a real number x is chosen at random in the interval [0, 3] and a real number y is chosen at random in the interval [0, 4], what is the probability that x < y? Options: 1. 1/2, 2. 7/12, 3. 5/8, 4. 2/3.",2261,train,1/2,7/12,5/8,2/3,3
"The probability that a point (x, y) in R^2 is chosen follows a uniform random distribution within the region described by the inequality 0 < |x| + |y| < 1 . What is the probability that 2(x + y) > 1?",college_mathematics,"The probability that a point (x, y) in R^2 is chosen follows a uniform random distribution within the region described by the inequality 0 < |x| + |y| < 1 . What is the probability that 2(x + y) > 1? Options: 1. 0, 2. 1/4, 3. sqrt(2)/4, 4. 1/sqrt(2).",2262,train,0,1/4,sqrt(2)/4,1/sqrt(2),2
(1+i)^10 =,college_mathematics,"(1+i)^10 = Options: 1. 1, 2. i, 3. 32, 4. 32i.",2263,val,1,i,32,32i,4
"If U and V are 3-dimensional subspaces of R^5, what are the possible dimensions of U ∩ V?",college_mathematics,"If U and V are 3-dimensional subspaces of R^5, what are the possible dimensions of U ∩ V? Options: 1. 0, 2. 1, 3. 0 or 1, 4. 1, 2, or 3.",2264,test,0,1,0 or 1,"1, 2, or 3",4
"Let S be the subset of R^2 consisting of all points (x, y) in the unit square [0, 1] × [0, 1] for which x or y, or both, are irrational. With respect to the standard topology on R^2, S is",college_mathematics,"Let S be the subset of R^2 consisting of all points (x, y) in the unit square [0, 1] × [0, 1] for which x or y, or both, are irrational. With respect to the standard topology on R^2, S is Options: 1. closed, 2. open, 3. connected, 4. totally disconnected.",2265,val,closed,open,connected,totally disconnected,3
Which of the following circles has the greatest number of points of intersection with the parabola x^2 = y + 4 ?,college_mathematics,"Which of the following circles has the greatest number of points of intersection with the parabola x^2 = y + 4 ? Options: 1. x^2 + y^2 = 1, 2. x^2 + y^2 = 2, 3. x^2 + y^2 = 9, 4. x^2 + y^2 = 16.",2266,train,x^2 + y^2 = 1,x^2 + y^2 = 2,x^2 + y^2 = 9,x^2 + y^2 = 16,3
X is a finite set with the following property: The number of subsets of X that contain exactly 3 elements is 14 more than the number of subsets of X that contain exactly 2 elements. How many subsets of X contain exactly 4 elements?,college_mathematics,"X is a finite set with the following property: The number of subsets of X that contain exactly 3 elements is 14 more than the number of subsets of X that contain exactly 2 elements. How many subsets of X contain exactly 4 elements? Options: 1. 24, 2. 25, 3. 28, 4. 35.",2267,val,24,25,28,35,4
"Let T: R^2 -> R^2 be the linear transformation that maps the point (1, 2) to (2, 3) and the point (-1, 2) to (2, -3). Then T maps the point (2, 1) to",college_mathematics,"Let T: R^2 -> R^2 be the linear transformation that maps the point (1, 2) to (2, 3) and the point (-1, 2) to (2, -3). Then T maps the point (2, 1) to Options: 1. (1, 6), 2. (-1, 4), 3. (3, 2), 4. (-4, 3).",2268,val,"(1, 6)","(-1, 4)","(3, 2)","(-4, 3)",1
Who set the world record for the mile race in 1886?,college_medicine,"Who set the world record for the mile race in 1886? Options: 1. R Bannister, 2. S Coe, 3. J DiMaggio, 4. WG George.",1143,train,R Bannister,S Coe,J DiMaggio,WG George,4
The complete resynthesis of phosphocreatine after very high intensity exercise normally takes:,college_medicine,"The complete resynthesis of phosphocreatine after very high intensity exercise normally takes: Options: 1. about 10 seconds, 2. about 30 seconds, 3. about 1 minute, 4. about 4 minutes.",1199,train,about 10 seconds,about 30 seconds,about 1 minute,about 4 minutes,4
Fatty acids are transported into the mitochondria bound to:,college_medicine,"Fatty acids are transported into the mitochondria bound to: Options: 1. thiokinase, 2. coenzyme A (CoA), 3. acetyl-CoA, 4. carnitine.",1192,train,thiokinase,coenzyme A (CoA),acetyl-CoA,carnitine,4
"Diisopropylfluorophosphate (DFP) binds to the active site of acetylcholinesterase (ACE) in the synapses of neurons. When DFP binds to ACE, the ACE enzyme is rendered permanently inactive. This makes DFP a potent toxin, with lethal amounts at less than 100 mg. The interaction between DFP and ACE can best be characterized as:",college_medicine,"Diisopropylfluorophosphate (DFP) binds to the active site of acetylcholinesterase (ACE) in the synapses of neurons. When DFP binds to ACE, the ACE enzyme is rendered permanently inactive. This makes DFP a potent toxin, with lethal amounts at less than 100 mg. The interaction between DFP and ACE can best be characterized as: Options: 1. Competitive inhibition, 2. Noncompetitive inhibition, 3. Irreversible inhibition, 4. Partially competitive inhibition.",1130,train,Competitive inhibition,Noncompetitive inhibition,Irreversible inhibition,Partially competitive inhibition,3
The process of translation requires the presence of:,college_medicine,"The process of translation requires the presence of: Options: 1. mRNA, tRNA and ribosomes, 2. mRNA, ribosomes and RNA polymerase, 3. DNA, mRNA and RNA polymerase, 4. chromatin, DNA and amino acids.",1173,train,"mRNA, tRNA and ribosomes","mRNA, ribosomes and RNA polymerase","DNA, mRNA and RNA polymerase","chromatin, DNA and amino acids",1
